epoch 	 train_{err} 	 test_{err} 	 lr 	 train_{acc} 	  test_{acc} 	 duration(s)
0	0.221786	0.227596	0.001	50.625	48.5	1.29848
1	0.0686249	0.059559	0.001	79.5	82.5	0.924505
2	0.0547868	0.0474884	0.000999001	85.625	88.5	1.48435
3	0.0546662	0.0473826	0.000998006	85.75	88.5	1.49592
4	0.0564895	0.0506166	0.000997015	85	88	1.66865
5	0.0539835	0.0485384	0.000996028	85.5	88.5	1.44663
6	0.0498068	0.04433	0.000995045	87	89	1.47863
7	0.0497946	0.0441151	0.000994065	86.75	89	1.4694
8	0.054493	0.0477541	0.00099309	84.75	87	1.49636
9	0.0491418	0.0437934	0.000992118	87.125	88.5	1.49646
10	0.0479507	0.0434486	0.00099115	88.125	90	1.62748
11	0.0553593	0.0487455	0.000990186	83.875	87	1.66874
12	0.050383	0.0448513	0.000989225	85.625	88	1.68211
13	0.0469545	0.0423851	0.000988269	87.125	89	1.54451
14	0.0463964	0.0423331	0.000987315	88.75	90	1.66452
15	0.0460015	0.0419385	0.000986366	87.875	89.5	1.65695
16	0.0458408	0.0422954	0.00098542	89	90.5	1.5656
17	0.0474214	0.0427472	0.000984478	86.75	87.5	1.6416
18	0.0498728	0.046925	0.000983539	87.125	88	1.48719
19	0.0476751	0.043089	0.000982604	86.5	88	1.72795
20	0.0455265	0.0414962	0.000981673	87.25	88	1.6581
21	0.0455222	0.0426957	0.000980745	88.875	89	1.41086
22	0.0440618	0.040812	0.00097982	88.625	89.5	0.706776
23	0.0442324	0.041385	0.000978899	89.5	90	1.62611
24	0.0527617	0.0474368	0.000977981	84.125	87	1.78541
25	0.043643	0.0404409	0.000977067	88.25	88.5	1.69066
26	0.0439541	0.0405634	0.000976156	87.875	88	1.71427
27	0.0482241	0.0437911	0.000975248	86.125	89	1.68893
28	0.0430908	0.0401253	0.000974344	88.25	88	1.61746
29	0.0426312	0.0402824	0.000973443	89.25	89.5	1.59696
30	0.0423328	0.0398666	0.000972545	88.875	89	1.61533
31	0.0452614	0.0436072	0.000971651	88.75	89	1.75479
32	0.0439826	0.0421918	0.00097076	89.5	89.5	1.61269
33	0.041746	0.0397662	0.000969872	89	89.5	1.76279
34	0.0421878	0.0404353	0.000968987	90.375	89.5	1.69828
35	0.0416499	0.0392646	0.000968105	89	89	1.71942
36	0.0429556	0.0402453	0.000967227	87.75	89	1.84131
37	0.0422102	0.0397965	0.000966351	88.375	88.5	1.70803
38	0.0409811	0.0389626	0.000965479	89.125	89	1.59073
39	0.0428821	0.0403145	0.00096461	87.75	89	1.85367
40	0.0441434	0.0431972	0.000963744	88.5	89	1.52157
41	0.0401962	0.0388004	0.000962881	89.375	88.5	1.66705
42	0.0407381	0.0390441	0.000962021	89.375	89	1.65872
43	0.0401466	0.0387254	0.000961164	89.125	89	1.50746
44	0.0398922	0.0385955	0.00096031	89.25	89.5	1.50195
45	0.0401583	0.0393897	0.000959459	90	89	1.4178
46	0.0442359	0.0418037	0.000958611	87.375	89.5	1.48824
47	0.0455992	0.0451874	0.000957766	87.75	88.5	1.47914
48	0.039222	0.0385049	0.000956924	90.125	88.5	1.57856
49	0.0390648	0.0384406	0.000956085	90	88	1.44887
50	0.0396068	0.0393195	0.000955248	90.125	89	1.70018
51	0.0388749	0.0381719	0.000954415	90.125	89.5	1.57935
52	0.0384738	0.0381048	0.000953584	90.125	88.5	1.57084
53	0.0387355	0.0385977	0.000952756	90.5	89	2.31154
54	0.0421182	0.0406938	0.000951931	88	89.5	0.936954
55	0.0384635	0.0380066	0.000951109	90.125	89.5	1.0232
56	0.0380388	0.037781	0.000950289	90	88.5	1.89957
57	0.0408302	0.0397279	0.000949473	88.875	89.5	1.05716
58	0.0381575	0.0383634	0.000948659	90.5	88.5	1.09397
59	0.0393632	0.0387038	0.000947847	89.5	90	1.4799
60	0.0383908	0.0381398	0.000947039	90	89.5	1.73119
61	0.0392365	0.0387157	0.000946233	89.625	90	1.63553
62	0.0400798	0.0406803	0.00094543	89.5	89.5	1.88801
63	0.0393272	0.038818	0.000944629	89.25	89.5	1.56163
64	0.0370293	0.0376633	0.000943831	90.375	88.5	0.863166
65	0.0374957	0.0383458	0.000943036	90.375	89	1.66734
66	0.0400095	0.0395794	0.000942243	89.125	90	1.62372
67	0.0367773	0.0375859	0.000941453	90.625	88.5	1.6949
68	0.0364732	0.037459	0.000940665	90.375	88	1.81966
69	0.0376868	0.039121	0.00093988	90.625	89	0.704898
70	0.0362992	0.0375083	0.000939098	90.5	88.5	1.67718
71	0.0388324	0.040261	0.000938318	89.875	89.5	1.68402
72	0.0361773	0.0372655	0.000937541	90.75	88.5	1.64352
73	0.0360553	0.0374036	0.000936766	91	88.5	1.76293
74	0.0359891	0.0370971	0.000935993	91	88.5	1.46915
75	0.0363377	0.0378446	0.000935223	90.875	89	1.62578
76	0.0357214	0.0369953	0.000934456	91	88	1.72106
77	0.0364687	0.0382139	0.000933691	90.75	89	1.85861
78	0.035376	0.0369359	0.000932928	90.375	88	1.66087
79	0.0353744	0.0371691	0.000932168	91.125	88.5	1.74097
80	0.035219	0.0368309	0.00093141	90.875	88.5	1.63285
81	0.0365857	0.0385882	0.000930654	90.75	89	1.84984
82	0.0350139	0.0371029	0.000929901	91.125	88.5	1.48002
83	0.0348366	0.0368113	0.000929151	90.625	88.5	2.09888
84	0.0347299	0.0367673	0.000928402	91	88	0.771335
85	0.0346806	0.0366764	0.000927656	91	88	0.971059
86	0.0360992	0.0376193	0.000926912	90.875	90.5	1.9991
87	0.0366002	0.0380739	0.000926171	90.25	90.5	0.90271
88	0.036295	0.0378152	0.000925432	90.625	90.5	1.69385
89	0.0342614	0.0367517	0.000924695	91	88.5	1.63374
90	0.0342212	0.0366701	0.00092396	91.125	87.5	1.60189
91	0.0343357	0.0366847	0.000923228	90.875	89	0.914516
92	0.0352736	0.0381786	0.000922498	91	89	1.52047
93	0.0338591	0.0365456	0.00092177	91	88.5	1.52192
94	0.0339684	0.0366775	0.000921044	91.25	88.5	1.42641
95	0.0343181	0.036815	0.00092032	91.375	89	1.41403
96	0.0342027	0.0370583	0.000919599	91.125	88.5	1.65791
97	0.0334636	0.0363906	0.00091888	91.25	88.5	1.55873
98	0.0366835	0.0387264	0.000918163	90.25	90	1.6767
99	0.0421524	0.0430821	0.000917448	87.625	88.5	1.50507
100	0.0360106	0.038239	0.000916735	90.5	90	1.57729
101	0.0331078	0.0363848	0.000916025	91	88.5	1.71517
102	0.033237	0.0364077	0.000915316	91.375	88	1.42385
103	0.0333723	0.036501	0.00091461	91.25	89	0.7862
104	0.0340115	0.0369843	0.000913906	91.375	90.5	1.08871
105	0.0329588	0.036299	0.000913204	91.625	88	1.04407
106	0.0327468	0.0363158	0.000912503	91.5	88	1.88634
107	0.0334735	0.0374012	0.000911805	91.5	88.5	1.05225
108	0.032711	0.0366378	0.000911109	91.625	88.5	1.61533
109	0.0334917	0.0375738	0.000910415	91.5	88.5	1.65465
110	0.032246	0.0362077	0.000909723	91.5	88.5	1.56163
111	0.0330746	0.037197	0.000909034	91.5	88.5	1.5248
112	0.0323874	0.0366809	0.000908346	91.875	88.5	1.62294
113	0.0334573	0.0370798	0.00090766	91.625	90.5	1.50936
114	0.034963	0.0391888	0.000906976	90.875	89.5	1.51689
115	0.0319004	0.0362028	0.000906294	91.5	88.5	1.47612
116	0.0350544	0.0393769	0.000905614	91	89.5	1.54164
117	0.0317141	0.0362507	0.000904936	91.625	88.5	1.5226
118	0.0344452	0.0379624	0.000904259	91.375	90.5	1.5118
119	0.0315978	0.036187	0.000903585	91.625	88	1.44582
120	0.0322508	0.0366525	0.000902913	91.75	90	1.43799
121	0.0318573	0.0367056	0.000902242	91.875	88.5	1.50174
122	0.03609	0.0394121	0.000901574	90.75	90.5	1.48182
123	0.0311302	0.0360922	0.000900907	92	89	1.45232
124	0.0328859	0.0379022	0.000900243	91.125	88.5	1.55279
125	0.0317671	0.0368904	0.00089958	91.75	88.5	1.48547
126	0.0311702	0.0363813	0.000898919	92.125	88.5	1.42686
127	0.0329943	0.0381615	0.00089826	91.125	89.5	1.41678
128	0.0307137	0.0359716	0.000897602	92.25	89	1.49346
129	0.0321333	0.037622	0.000896947	91.375	88	1.42406
130	0.0307205	0.0361957	0.000896293	92	88.5	1.47995
131	0.0305574	0.0358776	0.000895642	92.125	88.5	1.44621
132	0.0321458	0.0369243	0.000894992	91.875	90.5	1.48535
133	0.032394	0.0371468	0.000894343	91.75	91	1.48952
134	0.0302997	0.0358881	0.000893697	92.125	88.5	1.45065
135	0.0301554	0.0359551	0.000893052	92.375	89	1.45678
136	0.0317882	0.0369045	0.000892409	91.875	90.5	1.63039
137	0.0303775	0.0359117	0.000891768	92.125	89	1.58068
138	0.0300392	0.0358672	0.000891129	92.375	88.5	1.49454
139	0.0300861	0.0358852	0.000890491	92.125	89	1.41153
140	0.0300352	0.0358627	0.000889855	92.125	89	1.41893
141	0.0296603	0.0359728	0.000889221	92.5	89	1.44085
142	0.0309429	0.0365537	0.000888589	92.125	90	1.49931
143	0.0329504	0.0380911	0.000887958	91.75	90.5	1.51045
144	0.0293698	0.0358024	0.000887329	92.25	88.5	1.48997
145	0.0309344	0.0367014	0.000886702	92	91	1.42379
146	0.0291842	0.0357515	0.000886076	92.625	88.5	1.40387
147	0.0291583	0.0358006	0.000885452	92.5	89	1.42029
148	0.0294232	0.0358535	0.000884829	92.625	89	1.47695
149	0.0292994	0.0357422	0.000884209	92.625	89	1.42235
150	0.0294747	0.0359976	0.00088359	92.375	89.5	1.48198
151	0.0298385	0.0367743	0.000882972	92.375	88	1.49019
152	0.030282	0.0364533	0.000882357	92	90.5	1.42327
153	0.0290544	0.036142	0.000881742	92.5	88	1.56507
154	0.0287745	0.0358699	0.00088113	92.625	89	1.45694
155	0.029082	0.0362905	0.000880519	92.375	88	1.46455
156	0.0296809	0.0368825	0.00087991	92.125	88	1.57543
157	0.0287702	0.0360747	0.000879302	92.5	88	1.96728
158	0.0282273	0.0354929	0.000878696	93.125	88.5	1.64669
159	0.0281622	0.0356086	0.000878091	92.875	89	1.69189
160	0.0282216	0.0357791	0.000877488	92.875	88.5	1.03818
161	0.0281274	0.0357642	0.000876887	92.875	88.5	1.45436
162	0.0282103	0.0355048	0.000876287	93	89.5	1.48801
163	0.02816	0.035803	0.000875689	92.75	88.5	1.74659
164	0.0279521	0.0357686	0.000875092	92.875	88.5	1.47073
165	0.030149	0.0369613	0.000874497	92	91	1.52442
166	0.0314312	0.038988	0.000873903	91.625	89	1.57222
167	0.0306595	0.0373823	0.000873311	92	90.5	1.77976
168	0.0299284	0.0376712	0.00087272	92.25	89	1.49764
169	0.0275868	0.0353341	0.000872131	93.125	89.5	1.58039
170	0.0274068	0.0354553	0.000871543	93	88.5	1.44917
171	0.0282023	0.0363354	0.000870957	92.625	88	1.45072
172	0.0272177	0.0353999	0.000870372	93.5	89.5	1.62369
173	0.0275023	0.0359305	0.000869789	93.25	88.5	1.53994
174	0.0270496	0.0352755	0.000869207	93.625	90	0.970639
175	0.0268117	0.035221	0.000868627	93.875	89.5	1.52942
176	0.0269406	0.0351072	0.000868048	93.375	90	1.68828
177	0.0281743	0.0360071	0.000867471	92.5	90.5	1.53821
178	0.0294692	0.0368885	0.000866895	92.125	91.5	1.56979
179	0.0266679	0.0353201	0.000866321	93.125	88.5	1.44066
180	0.0266331	0.0351446	0.000865747	93.375	89.5	1.56702
181	0.0263407	0.0350031	0.000865176	93.75	89.5	1.87107
182	0.0265409	0.0354789	0.000864606	93.375	88.5	1.84456
183	0.0261876	0.0350476	0.000864037	93.75	88.5	1.63977
184	0.0266828	0.0350771	0.000863469	93	89.5	1.49414
185	0.0316397	0.0396517	0.000862903	91.375	89	1.6414
186	0.0259635	0.0347957	0.000862339	93.625	89	1.43377
187	0.0267842	0.0352106	0.000861776	93.125	90	1.57285
188	0.0280914	0.0368486	0.000861214	92.375	88.5	1.63399
189	0.0434487	0.047891	0.000860653	86.875	89	1.63202
190	0.0298218	0.0382313	0.000860094	92.25	89	1.88207
191	0.0259777	0.0348179	0.000859536	93.25	90	1.1979
192	0.0279071	0.0369709	0.00085898	92.375	88.5	1.57638
193	0.0253276	0.0348597	0.000858425	94.125	89	1.50836
194	0.0255364	0.0349407	0.000857871	93.25	89	1.59996
195	0.0253988	0.0351164	0.000857319	94.125	89	1.49573
196	0.0252849	0.0347949	0.000856768	93.375	89.5	1.66442
197	0.0278872	0.0363632	0.000856218	92.375	91.5	1.60098
198	0.0250323	0.0348205	0.00085567	94.375	88.5	1.6988
199	0.0252225	0.0348179	0.000855123	93.5	89.5	1.55174
200	0.0258439	0.0357141	0.000854577	93.375	88.5	1.56806
201	0.0262628	0.0361422	0.000854033	93.125	88.5	1.59977
202	0.0270294	0.0359166	0.00085349	92.875	91.5	1.81213
203	0.0245248	0.0345547	0.000852948	94.375	88.5	1.4529
204	0.0246187	0.0348294	0.000852407	94.625	89	1.61495
205	0.0243774	0.0346613	0.000851868	94.625	88.5	1.55399
206	0.0242228	0.0345357	0.00085133	94.5	89	1.71031
207	0.0246545	0.0346335	0.000850793	93.625	89.5	1.45322
208	0.0267545	0.0366873	0.000850258	92.875	88.5	1.51695
209	0.0240295	0.034321	0.000849723	94.25	89.5	1.49822
210	0.023988	0.0343636	0.00084919	94.125	89.5	1.16413
211	0.0239959	0.0347277	0.000848659	95.125	88.5	1.25377
212	0.0240056	0.0343772	0.000848128	93.875	89.5	1.37402
213	0.0242168	0.0350328	0.000847599	94.125	89	1.61455
214	0.024243	0.0346742	0.000847071	93.75	89	1.9882
215	0.0240725	0.0350156	0.000846544	94.5	89	1.48243
216	0.0234894	0.0341954	0.000846019	94.25	89.5	1.26575
217	0.0247824	0.0356562	0.000845494	93.75	89	1.52434
218	0.0231429	0.0342982	0.000844971	94.75	89	1.474
219	0.0236948	0.0350008	0.000844449	94.5	89	1.50744
220	0.0265566	0.0362032	0.000843929	93.25	91	1.44693
221	0.0240063	0.035293	0.000843409	94.375	89	1.41453
222	0.0235913	0.0344376	0.000842891	93.75	89	1.41561
223	0.02386	0.0346675	0.000842374	94	89	1.48531
224	0.0229894	0.0341941	0.000841858	93.875	89.5	1.49541
225	0.0242272	0.0355568	0.000841343	93.875	89	1.47024
226	0.0225025	0.0340054	0.000840829	94.625	89.5	1.47154
227	0.0237142	0.0352824	0.000840317	94.125	89	1.47183
228	0.0223318	0.0340348	0.000839806	95.375	89	1.46847
229	0.0222846	0.0339687	0.000839295	95.25	89	1.51825
230	0.0231724	0.0342063	0.000838786	94	90	1.4422
231	0.0220489	0.0337692	0.000838279	94.75	89.5	0.967892
232	0.0218799	0.033864	0.000837772	95.25	89	1.48436
233	0.0218177	0.0339052	0.000837266	95.5	89	1.47413
234	0.0240506	0.0349122	0.000836762	93.875	92	1.47593
235	0.0217181	0.0339587	0.000836259	95.5	89	1.5983
236	0.0219589	0.0342597	0.000835756	95.25	89	1.48795
237	0.0237213	0.0355655	0.000835255	93.5	89	1.46411
238	0.0217097	0.034064	0.000834756	95.625	89	1.50492
239	0.0217874	0.0339047	0.000834257	94.5	90	1.47982
240	0.0211083	0.0336137	0.000833759	95.375	89	1.50724
241	0.0212624	0.0339341	0.000833262	95.625	89	1.43256
242	0.0210058	0.0337609	0.000832767	95.5	89	1.45928
243	0.0211685	0.0335906	0.000832272	94.875	90	1.50124
244	0.0218536	0.0339169	0.000831779	94.75	90	1.50095
245	0.0206897	0.0333935	0.000831287	95.125	89.5	1.51006
246	0.0222175	0.0340643	0.000830796	94.5	90.5	1.47499
247	0.0204938	0.0333788	0.000830306	95.5	89	1.41835
248	0.020382	0.0333294	0.000829817	95.5	89	1.44452
249	0.0211634	0.0340963	0.000829329	95.75	89.5	1.48414
